category_id,category_title,name,price,tag,is_signature,is_most_ordered,description
21,Burgers,Vegetable Burger with Peri Peri Fries,₹200,,,,
21,Burgers,Cheese Burst Burger with Parmesan Truffle Fries,₹220,,,,
21,Burgers,Chef's Cottage Cheese Burger with Peri Peri Fries,₹240,,,,
21,Burgers,9:50 Signature Burger with Potato Wedges,₹250,,TRUE,,Our very own specialty indulgence loaded with surprising rich flavours!
22,Pasta,Spaghetti Aglio E Olio,₹300,,,,"A golden swirl of garlic-kissed spaghetti with olives, cherry tomatoes, and Parmesan."
22,Pasta,Fettuccine Basil Pesto,₹340,,,,Silky fettuccine draped in vibrant pesto sauce with olives and basil.
22,Pasta,Penne Arrabbiata,₹320,,,,"Fiery, tangy penne tossed with peppers and olives."
22,Pasta,Fettuccine Creamy Mushroom,₹360,,,TRUE,A lush mushroom-cream-coated fettuccine crowned with Parmesan.
22,Pasta,Traditional Lasagna,₹380,,,,"Layers of tender pasta, rich in house sauce, seasonal vegetables, and mozzarella baked to golden perfection. "
22,Pasta,Three Cheese Ravioli,₹390,chiefs choice,,,"Ricotta, bocconcini, and Parmesan folded into delicate pasta pillows, served with silky mix sauce."
22,Pasta,Exotic Pink Penne,₹350,Trending ,,,
22,Pasta,9:50 Mac & Cheese,₹370,,TRUE,,
23,Pizza Station,Classic Margherita Pizza (NY Style),₹400,,,,"Mozzarella, bocconcini, and fresh basil."
23,Pizza Station,Classic Margherita Pizza (Neapolitan),₹450,,,,"Mozzarella, bocconcini, and fresh basil."
23,Pizza Station,Cheese Corn Pizza (NY Style),₹400,,,,Creamy mozzarella and sweet corn.
23,Pizza Station,Cheese Corn Pizza (Neapolitan),₹450,,,,Creamy mozzarella and sweet corn.
23,Pizza Station,Farmville Pizza (NY Style),₹480,,,,"Garden medley of broccoli, corn, bell pepper, olives, jalapeño, cherry tomato."
23,Pizza Station,Farmville Pizza (Neapolitan),₹530,,,,"Garden medley of broccoli, corn, bell pepper, olives, jalapeño, cherry tomato."
23,Pizza Station,Four Cheese Pizza (NY Style),₹450,,,TRUE,"Mozzarella, bocconcini, cheddar, and ricotta with Parmesan."
23,Pizza Station,Four Cheese Pizza (Neapolitan),₹500,,,TRUE,"Mozzarella, bocconcini, cheddar, and ricotta with Parmesan."
23,Pizza Station,Exotic Pizza (NY Style),₹460,,,,"Corn, bell peppers, black olives, and mushroom."
23,Pizza Station,Exotic Pizza (Neapolitan),₹510,,,,"Corn, bell peppers, black olives, and mushroom."
23,Pizza Station,Paneer Tikka Pizza (NY Style),₹470,,,,"Spiced paneer, bell pepper, onion, paprika, jalapeño on tikka sauce."
23,Pizza Station,Paneer Tikka Pizza (Neapolitan),₹520,,,,"Spiced paneer, bell pepper, onion, paprika, jalapeño on tikka sauce."
23,Pizza Station,Pestomania Pizza (NY Style),₹440,,,,Bocconcini over vibrant pesto sauce.
23,Pizza Station,Pestomania Pizza (Neapolitan),₹490,,,,Bocconcini over vibrant pesto sauce.
23,Pizza Station,Love in the Forest Pizza (NY Style),₹500,trending,,,"Garlic cream base with paprika, mushrooms, baby burrata, and pesto swirl."
23,Pizza Station,Love in the Forest Pizza (Neapolitan),₹550,trending,,,"Garlic cream base with paprika, mushrooms, baby burrata, and pesto swirl."
23,Pizza Station,9:50 Signature Pizza (NY Style),₹490,,TRUE,,"Garlic cream base, mozzarella, bocconcini, red paprika, jalapeño, black olives, pickle onion, fried garlic."
23,Pizza Station,9:50 Signature Pizza (Neapolitan),₹540,,TRUE,,"Garlic cream base, mozzarella, bocconcini, red paprika, jalapeño, black olives, pickle onion, fried garlic."
24,Garlic Bread,Classic Garlic Bread,₹240,,,,"Stuffed with butter and garlic, brushed with olive oil and served with love. "
24,Garlic Bread,Chilly Cheese Garlic Bread,₹250,,,TRUE,"Stuffed with green chilies and melted mozzarella, this one is everyone's favourite. "
24,Garlic Bread,9:50 Signature Garlic Bread,₹300,,TRUE,,"Schezwan-spiced garlic sauce, bell pepper, cherry tomato..."
25,Calzone,Veg Calzone,₹320,,,,"Garlic-sauced veggies, mushrooms, mozzarella, oregano and parsley on top. "
25,Calzone,Pesto Mushroom Calzone,₹340,,,TRUE,"Pesto, mushrooms, cherry tomato, lettuce, and bocconcini with pesto dip."
25,Calzone,Creamy Paneer Calzone,₹360,,,,"Paneer, bell pepper, sweet corn, olives, cherry tomato with sweet chili sauce."
26,Meal Bowls,Burnt Garlic Fried Rice,₹250,,,,
26,Meal Bowls,Schezwan Fried Rice,₹250,,,,
26,Meal Bowls,Burrito Rice Bowl,₹350,,,TRUE,"Rice, beans, veggies, salsa and all about satisfying flavours."
26,Meal Bowls,Peri Peri Paneer Rice Bowl,₹340,,,,
26,Meal Bowls,Buddha Bowl,₹380,,,,
26,Meal Bowls,9:50 Signature Meal Bowl,₹350,,TRUE,,Your comforting pizza flavours but in a rice bowl.
27,Ramen Tales,Tan Tan Ramen,₹280,,,,Tantalising ramen immersed in rich tangy broth topped with peanuts and spring onion 
27,Ramen Tales,Shoyu Ramen,₹320,,,TRUE,"Spicy soy-based broth with mushrooms, fresh greens, and tender noodles, finished with panner slices on top."
28,Meal Combos,Pav Bhaji,₹200,,,,
28,Meal Combos,Butter Khichdi,₹220,,,,
28,Meal Combos,Chole Chawal / Rajma Chawal,₹220,,,,
28,Meal Combos,Sev Tamatar with Laccha Paratha,₹250,,,,
28,Meal Combos,Paneer Bhurji with Pav,₹250,,,,
29,Desserts,Mango Cheesecake,₹280,,,,
29,Desserts,Blueberry Tiramisu,₹280,trending,,,
29,Desserts,Classic Homemade Brownie,₹220,,,,
29,Desserts,Nutella Waffle,₹240,,,,
29,Desserts,Biscoff Waffle,₹240,,,,
29,Desserts,Oreo Waffle,₹240,,,,
29,Desserts,Sizzling Brownie,₹260,,,,
29,Desserts,Classic Tiramisu,₹250,,,TRUE,
29,Desserts,Blueberry Cheese Cake,₹250,,,,
29,Desserts,Lotus Biscoff Cheese Cake,₹250,,,,
29,Desserts,Nutella Cheese Cake,₹250,,,,
29,Desserts,Strawberry Cheese Cake,₹250,,,TRUE,
29,Desserts,Red Velvet Tiramisu,₹280,,,TRUE,
,,,,,,,